amount,transaction_hour,merchant_category,transaction_type,location,transactions_last_24h,avg_transaction_amount,international,distance_from_home_km,is_fraud
3906.38,1,Utilities,POS,Mumbai,3.0,1839.79,No,4.5,Medium
1150.85,15,Grocery,Online,Vijayawada,4.0,2783.24,No,20.01,Low
2080.62,8,Shopping,ATM,Patna,2.0,2172.54,No,12.43,Low
211.45,22,Utilities,POS,Indore,0.0,767.5,No,3.73,Low
392.77,17,Grocery,POS,Indore,2.0,566.96,No,23.11,Low
3276.1,12,Food,POS,Hyderabad,2.0,2306.19,No,1.98,Medium
2482.59,14,Education,Online,Bengaluru,3.0,1420.71,No,22.42,Low
7105.59,7,Online Marketplace,ATM,Delhi,5.0,3334.42,No,2.92,Low
1102.35,8,Grocery,Contactless,Lucknow,8.0,1095.6,No,3.96,Medium
4826.5,1,Education,ATM,Indore,0.0,1245.33,No,19.18,Medium
1060.36,14,Food,POS,Bengaluru,4.0,1510.02,No,15.97,Low
9682.02,17,Travel,Online,Indore,3.0,1445.62,No,258.66,High
105.33,13,Food,Online,Delhi,30.0,523.08,No,3.97,High
136.0,23,Restaurants,POS,Delhi,2.0,182.37,No,3.75,Medium
2106.41,19,Online Marketplace,Contactless,Delhi,2.0,1336.75,No,0.1,Low
951.69,18,Fuel,POS,Mumbai,1.0,746.71,No,4.96,Low
1554.06,6,Food,POS,Vijayawada,3.0,3480.45,No,17.57,Low
635.57,17,Shopping,Online,Nagpur,4.0,891.74,No,25.0,Low
495.79,20,Food,Contactless,Bengaluru,5.0,666.2,Yes,1582.87,High
154.38,16,Food,Online,Jaipur,2.0,617.87,No,12.28,Low
824.03,9,Food,POS,Mumbai,3.0,1668.81,No,7.79,Low
1998.17,13,Online Marketplace,Online,Chennai,4.0,1077.79,No,9.05,Medium
14781.85,14,Shopping,Online,Nagpur,4.0,3681.07,No,9.49,High
3631.13,12,Education,Contactless,Mumbai,2.0,4450.16,No,2.3,Low
6355.57,14,Entertainment,Online,Bengaluru,2.0,3245.77,No,11.89,Low
860.03,21,Fuel,POS,Coimbatore,1.0,1402.2,No,12.14,Low
557.34,12,Entertainment,Contactless,Chennai,1.0,718.78,No,6.15,Medium
474.13,1,Restaurants,POS,Pune,3.0,1101.16,No,4.49,Low
1592.36,20,Utilities,POS,Delhi,3.0,2650.51,No,16.14,Medium
1906.45,17,Education,Online,Jaipur,4.0,1997.9,No,8.66,Low
6684.87,15,Electronics,Online,Chennai,5.0,2033.89,No,35.61,High
318.05,8,Food,POS,Patna,0.0,961.96,No,23.7,Low
609.86,15,Restaurants,POS,Kolkata,2.0,1188.23,No,16.52,Low
4636.41,10,Shopping,Contactless,Hyderabad,3.0,3866.14,No,41.58,Low
321.31,14,Online Marketplace,Contactless,Ahmedabad,1.0,516.04,No,6.01,Low
816.38,21,Food,ATM,Lucknow,1.0,2426.9,No,21.02,Low
784.05,7,Shopping,ATM,Jaipur,2.0,471.51,No,182.21,High
2101.02,10,Grocery,Online,Ahmedabad,1.0,1520.12,No,11.58,Medium
448.08,19,Restaurants,POS,Delhi,2.0,870.6,No,8.63,Low
9068.95,11,Travel,ATM,Surat,1.0,1656.94,No,11.98,Low
153.49,5,Grocery,ATM,Bengaluru,4.0,936.46,No,1.92,Low
1152.84,20,Online Marketplace,Contactless,Jaipur,2.0,238.0,No,18.27,Medium
105.42,7,Grocery,ATM,Chennai,2.0,1045.4,No,5.16,Medium
10328.4,21,Healthcare,POS,Jaipur,1.0,2486.53,No,3.92,Medium
991.86,1,Food,Online,Mumbai,1.0,2251.45,No,3.93,Low
9128.31,22,Travel,Contactless,Delhi,3.0,3119.56,No,0.81,Low
748.53,5,Electronics,Online,Delhi,4.0,151.06,No,14.7,Low
6443.02,19,Healthcare,POS,Mumbai,7.0,2524.84,No,24.46,Medium
507.83,14,Education,Contactless,Coimbatore,3.0,259.28,No,21.81,Medium
36.48,15,Food,POS,Delhi,1.0,147.82,No,58.98,Low
1424.19,20,Entertainment,Online,Kolkata,4.0,2617.01,No,416.35,Low
1176.3,20,Shopping,POS,Bengaluru,0.0,1197.26,No,0.65,Low
702.96,8,Fuel,POS,Mumbai,3.0,528.63,No,1.01,Low
1398.27,10,Grocery,Online,Hyderabad,3.0,260.71,No,14.65,Medium
579.92,3,Fuel,POS,Surat,2.0,1440.15,No,7.92,Low
5000.97,2,Grocery,Online,Nagpur,3.0,2088.94,No,2.69,Medium
2083.17,21,Utilities,Online,Bhopal,20.0,1784.67,No,0.47,High
3569.52,17,Electronics,Online,Hyderabad,25.0,1179.59,No,15.89,High
2520.84,1,Electronics,POS,Surat,3.0,792.56,No,3.48,Medium
2585.0,10,Grocery,Contactless,Chennai,3.0,1410.42,No,12.1,Medium
5602.01,10,Healthcare,POS,Delhi,3.0,4049.3,No,19.88,Medium
3569.62,12,Travel,Contactless,Bengaluru,2.0,1048.36,No,11.38,Low
13056.94,6,Grocery,POS,Lucknow,3.0,3101.58,No,5.94,Medium
576.91,8,Fuel,Online,Chennai,5.0,1386.8,No,302.14,Medium
1299.11,14,Grocery,POS,Nagpur,3.0,5079.83,No,11.45,Low
2863.8,7,Grocery,Online,Indore,2.0,3116.23,No,49.98,Medium
745.84,18,Fuel,ATM,Visakhapatnam,2.0,726.99,No,25.09,Medium
1629.61,3,Healthcare,POS,Indore,3.0,3256.24,No,6.11,Low
1029.33,22,Pharmacy,Online,Chennai,0.0,602.34,No,1.54,Low
2795.85,12,Electronics,Online,Vijayawada,5.0,2513.78,No,3.66,Medium
338.56,10,Restaurants,ATM,Vijayawada,2.0,649.68,No,24.55,Low
575.2,19,Food,Online,Surat,3.0,1553.83,No,5.18,Low
3657.93,17,Healthcare,POS,Delhi,3.0,6412.54,No,8.95,Low
1927.91,8,Entertainment,ATM,Hyderabad,1.0,2158.26,No,5.85,Low
61603.38,5,Online Marketplace,Contactless,Hyderabad,1.0,5047.65,No,28.13,High
616.93,14,Online Marketplace,Contactless,Pune,5.0,373.27,Yes,2148.81,High
1602.07,10,Grocery,POS,Mumbai,3.0,1153.02,No,3.2,Low
1291.53,6,Shopping,POS,Kolkata,2.0,1215.39,No,7.06,Medium
379.86,9,Grocery,Online,Vijayawada,0.0,462.63,No,11.55,Low
178.7,16,Food,Contactless,Visakhapatnam,4.0,385.71,No,42.5,Low
1866.68,17,Fuel,POS,Kolkata,3.0,2025.27,No,6.43,Low
7789.11,9,Online Marketplace,ATM,Mumbai,3.0,2703.49,No,13.68,High
318.21,15,Food,Online,Ahmedabad,2.0,936.73,No,8.63,Low
2066.48,11,Electronics,POS,Kolkata,3.0,834.15,No,16.46,Medium
19443.6,13,Online Marketplace,Contactless,Kolkata,3.0,12123.78,No,54.23,Low
8048.39,11,Healthcare,POS,Kochi,4.0,1208.33,No,3.86,Medium
1140.24,10,Entertainment,ATM,Chennai,2.0,1029.27,No,495.72,Medium
5445.82,11,Online Marketplace,Contactless,Hyderabad,2.0,1483.6,No,4.54,Medium
908.26,15,Shopping,Online,Kochi,2.0,1225.84,No,39.06,Low
911.19,10,Online Marketplace,Online,Ahmedabad,2.0,1287.95,No,5.12,Medium
2102.11,9,Grocery,ATM,Vijayawada,2.0,1559.15,No,9.34,Low
365.47,12,Fuel,Online,Pune,2.0,742.21,No,0.42,Low
200.6,6,Grocery,ATM,Patna,3.0,445.94,No,3.88,Medium
2838.81,10,Grocery,POS,Kolkata,3.0,699.78,No,14.81,Medium
768.24,11,Shopping,POS,Surat,1.0,784.2,No,1.92,Medium
733.9,6,Restaurants,Contactless,Nagpur,1.0,1291.41,No,5.63,Low
2145.59,13,Utilities,ATM,Nagpur,1.0,1384.15,No,27.47,Medium
10455.41,21,Electronics,POS,Ahmedabad,5.0,2880.88,No,1.89,Low
3564.76,6,Online Marketplace,POS,Mumbai,3.0,4022.33,Yes,1031.31,High
1429.4,18,Food,ATM,Delhi,0.0,4897.06,No,11.52,Low
298.42,9,Grocery,Contactless,Ahmedabad,2.0,425.14,No,17.12,Low
1607.97,1,Fuel,POS,Kochi,1.0,2421.5,No,1.17,Medium
261.04,15,Restaurants,Contactless,Mumbai,0.0,662.98,No,1.75,Low
563.83,9,Pharmacy,Online,Mumbai,0.0,1812.26,No,21.82,Low
5172.97,7,Utilities,POS,Mumbai,5.0,2042.17,No,7.27,Medium
15134.59,15,Travel,ATM,Guwahati,2.0,2320.73,No,0.1,High
664.9,13,Online Marketplace,Contactless,Pune,0.0,718.44,No,179.91,Low
640.38,13,Shopping,Online,Jaipur,1.0,763.16,No,7.47,Low
558.87,15,Food,Online,Delhi,1.0,1084.27,No,5.62,Low
1674.18,18,Entertainment,ATM,Mumbai,27.0,1369.49,No,1.16,High
6963.62,14,Online Marketplace,Online,Ahmedabad,1.0,1806.96,No,0.33,Low
95.98,11,Grocery,Online,Mumbai,2.0,323.73,No,31.96,Low
145.63,16,Food,Online,Coimbatore,2.0,819.88,No,10.7,Low
940.85,18,Pharmacy,ATM,Delhi,5.0,3821.11,No,364.23,Low
3727.25,8,Education,Contactless,Chennai,1.0,2415.41,No,10.63,Medium
1999.97,15,Entertainment,POS,Ahmedabad,3.0,2525.49,No,0.8,Low
2545.56,13,Electronics,POS,Jaipur,2.0,1238.97,No,4.99,Medium
125.78,13,Restaurants,POS,Nagpur,0.0,181.89,No,5.45,Low
669.1,10,Entertainment,Contactless,Hyderabad,3.0,856.47,No,44.01,Low
551.05,20,Shopping,Online,Kolkata,23.0,544.69,No,36.61,High
554.88,20,Grocery,Online,Kochi,2.0,928.92,No,3.92,Medium
429.29,17,Utilities,POS,Patna,5.0,1264.09,No,8.79,Low
482.08,12,Grocery,ATM,Delhi,2.0,530.55,No,3.73,Low
420.74,17,Food,Online,Bengaluru,20.0,1854.35,No,9.92,High
436.23,8,Fuel,ATM,Bengaluru,1.0,682.38,No,9.84,Low
1400.97,10,Healthcare,Online,Hyderabad,4.0,1188.36,No,7.25,Low
394.44,14,Education,Online,Ahmedabad,6.0,561.68,No,7.19,Medium
623.87,12,Food,POS,Ahmedabad,1.0,1806.95,Yes,609.59,Medium
557.98,15,Food,POS,Hyderabad,3.0,1086.14,No,13.27,Low
7655.81,13,Fuel,POS,Pune,3.0,5828.35,No,8.19,Medium
1809.8,16,Healthcare,Online,Surat,5.0,2420.94,No,8.75,Low
1158.45,21,Fuel,POS,Bhopal,2.0,1154.49,No,23.22,Low
4741.53,18,Electronics,POS,Vijayawada,3.0,990.56,No,2.75,High
4772.55,1,Online Marketplace,Online,Chennai,3.0,4079.06,No,5.82,Medium
1848.16,14,Food,Online,Delhi,3.0,3739.41,No,11.27,Low
29.21,6,Fuel,POS,Bengaluru,2.0,419.93,No,6.5,Low
175.15,21,Grocery,Online,Chennai,3.0,651.98,No,24.5,Low
5354.05,9,Entertainment,Contactless,Bengaluru,1.0,969.72,Yes,6467.35,High
727.41,16,Food,Online,Delhi,0.0,2355.52,No,1.24,Low
1483.32,10,Utilities,Online,Bengaluru,1.0,820.14,No,0.69,Low
259.68,19,Fuel,Online,Bhopal,0.0,480.7,No,12.61,Low
9352.17,2,Electronics,Online,Bengaluru,2.0,4477.33,No,25.16,Medium
606.32,16,Restaurants,Online,Bengaluru,4.0,829.82,No,37.33,Low
1172.68,16,Healthcare,Online,Delhi,2.0,1188.64,No,6.11,Low
407.21,19,Online Marketplace,Online,Guwahati,1.0,424.57,No,19.07,Medium
985.97,13,Food,POS,Kolkata,2.0,1239.07,No,6.01,Low
99.25,11,Pharmacy,ATM,Mumbai,2.0,361.63,No,29.84,Low
4353.96,21,Travel,Online,Delhi,2.0,1564.96,No,34.77,Low
3543.75,11,Healthcare,Contactless,Pune,4.0,1844.83,Yes,4353.58,High
4558.29,22,Utilities,POS,Ahmedabad,2.0,3223.38,No,2.9,Low
2423.78,21,Education,POS,Delhi,2.0,2110.37,No,2.58,Low
1520.17,10,Grocery,POS,Chennai,1.0,1533.82,No,0.93,Medium
2543.98,10,Shopping,Online,Chennai,5.0,1859.41,No,8.29,Medium
2413.93,13,Shopping,Online,Guwahati,5.0,2663.37,No,9.2,Low
870.58,18,Food,POS,Bengaluru,23.0,1142.7,No,24.12,High
1104.45,21,Pharmacy,Online,Jaipur,1.0,1556.93,No,18.42,Medium
384.11,16,Food,POS,Visakhapatnam,4.0,373.37,No,8.77,Medium
,0,Entertainment,POS,Mumbai,2.0,5226.65,No,32.11,Low
770.65,16,Shopping,POS,Kolkata,1.0,979.93,No,1.09,Low
371.71,12,Pharmacy,POS,Hyderabad,3.0,824.98,No,5.2,Low
2288.46,16,Shopping,Contactless,Surat,0.0,1283.25,No,12.51,Low
1058.25,18,Education,Online,Nagpur,14.0,1090.0,No,290.19,High
1404.03,19,Utilities,Contactless,Chennai,4.0,2813.4,No,213.85,Low
1384.23,11,Shopping,ATM,Hyderabad,2.0,1998.19,No,0.6,Medium
2254.08,10,Travel,Online,Lucknow,4.0,1255.05,No,3.39,High
8711.53,1,Travel,Online,Delhi,1.0,1146.82,No,12.89,High
576.75,6,Restaurants,Contactless,Pune,2.0,915.43,No,14.97,Low
1733.34,10,Entertainment,Contactless,Hyderabad,3.0,1803.56,No,45.42,Low
6779.97,13,Electronics,POS,Pune,2.0,2799.76,No,9.29,Medium
828.32,19,Restaurants,POS,Jaipur,1.0,4969.53,No,3.24,Low
1009.13,21,Healthcare,POS,Ahmedabad,3.0,489.83,No,7.55,Medium
1180.46,17,Shopping,Online,Kolkata,3.0,1010.7,No,9.25,Medium
704.6,21,Grocery,Online,Mumbai,2.0,2417.48,No,0.3,Low
3504.66,13,Shopping,Contactless,Ahmedabad,6.0,2699.16,No,35.79,Low
1579.39,20,Restaurants,POS,Chennai,3.0,1489.04,No,22.45,Low
911.45,9,Restaurants,POS,Bengaluru,2.0,677.98,Yes,3403.8,Medium
1601.95,19,Electronics,POS,Chennai,1.0,410.91,Yes,4240.76,High
1498.86,11,Utilities,Online,Ahmedabad,1.0,3935.85,No,21.01,Low
786.74,22,Pharmacy,POS,Delhi,1.0,927.25,No,0.21,Medium
6739.2,15,Healthcare,Online,Pune,2.0,5762.05,No,1.11,Low
438.08,11,Utilities,POS,Vijayawada,1.0,908.22,No,4.82,Low
315.73,13,Grocery,Online,Mumbai,2.0,678.69,No,0.89,Low
8950.71,19,Electronics,Online,Pune,3.0,1484.07,No,2.12,Medium
583.46,22,Grocery,POS,Bengaluru,1.0,773.51,No,27.12,Low
642.28,20,Online Marketplace,POS,Delhi,0.0,350.85,No,33.59,Low
130.76,14,Pharmacy,POS,Jaipur,2.0,447.42,No,12.95,Low
526.06,11,Entertainment,Online,Chennai,5.0,559.65,No,15.59,Low
2800.78,9,Electronics,Contactless,Mumbai,3.0,1606.53,No,5.68,Medium
601.0,12,Entertainment,Online,Kochi,0.0,1135.3,No,12.24,Low
374.06,23,Travel,POS,Surat,6.0,280.7,No,2.0,Medium
2114.6,20,Fuel,POS,Patna,2.0,2914.24,No,3.16,Low
7477.39,10,Utilities,ATM,Mumbai,0.0,8600.56,No,25.24,Low
6257.26,17,Food,POS,Nagpur,0.0,795.68,No,416.96,High
227.07,22,Fuel,POS,Jaipur,4.0,457.22,No,12.95,Medium
1876.55,15,Entertainment,POS,Delhi,1.0,1922.76,No,44.8,Low
765.9,1,Utilities,Online,Bengaluru,0.0,928.99,No,9.84,Medium
16232.46,15,Restaurants,POS,Delhi,3.0,13632.15,No,17.94,Medium
2926.5,20,Utilities,ATM,Guwahati,0.0,3400.61,No,25.2,Low
2101.2,18,Travel,Online,Hyderabad,1.0,812.32,No,239.6,Medium
399.52,12,Pharmacy,Online,Mumbai,3.0,730.6,No,205.47,Medium
7778.92,10,Electronics,Online,Jaipur,1.0,1682.35,No,3.06,Low
39.81,12,Pharmacy,Contactless,Delhi,2.0,155.33,No,36.46,Low
610.49,7,Online Marketplace,Contactless,Kolkata,1.0,1013.45,No,8.02,Low
150.37,3,Food,POS,Coimbatore,2.0,547.43,No,395.92,Low
1404.28,13,Electronics,Online,Ahmedabad,5.0,1611.75,No,1.09,High
871.92,18,Grocery,Online,Pune,2.0,1914.79,No,20.66,Low
566.47,18,Shopping,Contactless,Delhi,2.0,648.0,No,5.96,Low
199.37,14,Pharmacy,Online,Delhi,5.0,583.0,No,253.35,Low
7067.27,11,Grocery,Contactless,Kolkata,4.0,10164.7,No,24.55,Low
662.11,11,Fuel,Contactless,Chennai,3.0,823.01,No,17.63,Medium
45428.61,13,Grocery,Contactless,Delhi,1.0,8443.07,No,11.22,Medium
1935.27,12,Education,ATM,Visakhapatnam,4.0,1526.04,No,,High
841.95,10,Grocery,Online,Delhi,3.0,1881.54,No,20.55,Low
282.68,8,Fuel,POS,Indore,1.0,334.65,No,7.02,Medium
1070.23,19,Restaurants,POS,Chennai,1.0,995.37,No,57.45,High
149.47,20,Pharmacy,Contactless,Hyderabad,0.0,881.57,No,6.61,Low
718.44,16,Shopping,Online,Hyderabad,3.0,1989.73,No,0.8,Low
2588.3,9,Electronics,ATM,Delhi,1.0,2258.27,Yes,4850.85,High
967.52,10,Utilities,ATM,Visakhapatnam,3.0,856.23,No,1.79,Medium
735.77,12,Shopping,ATM,Bhopal,1.0,1313.1,No,161.22,Low
2264.31,13,Online Marketplace,Online,Chennai,1.0,1347.31,No,28.64,Medium
1751.04,22,Grocery,POS,Bhopal,3.0,1443.59,No,3.41,Low
312.6,13,Shopping,Online,Delhi,4.0,542.81,No,0.13,Low
515.98,15,Education,POS,Patna,4.0,788.97,No,1.35,Low
2576.55,18,Grocery,POS,Chennai,7.0,3011.43,No,7.01,Low
351.82,22,Online Marketplace,Contactless,Chennai,6.0,266.7,No,16.05,Medium
879.68,15,Food,POS,Jaipur,0.0,1837.37,No,24.36,Low
14712.02,13,Grocery,Contactless,Chennai,1.0,5105.12,No,423.59,Medium
574.99,13,Fuel,POS,Mumbai,5.0,1046.16,No,8.86,Medium
1381.82,19,Online Marketplace,POS,Kochi,2.0,1738.78,No,1.15,Low
1332.37,17,Grocery,Online,Ahmedabad,2.0,3620.99,No,18.15,Low
603.9,8,Shopping,Online,Delhi,0.0,596.85,No,17.17,Low
851.01,22,Healthcare,POS,Patna,1.0,871.99,No,10.32,Low
1227.22,17,Food,Online,Coimbatore,2.0,1507.93,No,37.2,Medium
1285.49,10,Grocery,Contactless,Ahmedabad,2.0,2124.94,No,36.95,Low
112.89,12,Food,POS,Coimbatore,2.0,420.66,No,8.35,Low
79.84,11,Pharmacy,Online,Visakhapatnam,3.0,311.67,No,23.75,Low
1542.45,11,Shopping,POS,Pune,0.0,824.29,No,10.67,Low
1158.83,22,Shopping,ATM,Delhi,2.0,1150.47,No,1.81,Low
521.45,22,Entertainment,ATM,Mumbai,4.0,696.72,No,5.54,Medium
1058.27,7,Online Marketplace,Online,Mumbai,7.0,2705.14,No,7.16,Low
128.85,14,Entertainment,POS,Bengaluru,0.0,488.81,No,29.72,Low
46360.9,19,Electronics,Contactless,Chennai,3.0,2585.75,No,7.63,High
501.59,11,Restaurants,Online,Lucknow,1.0,1684.43,No,17.12,Low
594.88,12,Shopping,ATM,Coimbatore,2.0,1021.12,No,8.64,Low
348.58,10,Grocery,POS,Bengaluru,6.0,340.66,Yes,2010.25,High
976.37,23,Restaurants,POS,Guwahati,5.0,1438.5,No,73.98,Medium
13190.69,15,Online Marketplace,Online,Kochi,3.0,2829.25,No,6.48,Medium
1122.77,0,Utilities,POS,Chennai,1.0,2506.59,No,11.38,Low
420.95,21,Online Marketplace,Online,Mumbai,1.0,531.28,No,0.58,Low
164.66,10,Utilities,Contactless,Chennai,3.0,238.36,No,42.22,Low
384.93,10,Utilities,Contactless,Nagpur,4.0,1082.59,No,52.4,Medium
757.06,15,Shopping,POS,Kolkata,3.0,793.46,No,15.49,Low
6824.82,13,Fuel,POS,Ahmedabad,3.0,1589.69,No,2.63,Low
7528.97,12,Grocery,POS,Ahmedabad,3.0,4506.75,No,30.68,Medium
4834.16,11,Shopping,POS,Kolkata,3.0,3719.17,No,7.64,Medium
297.51,18,Food,POS,Visakhapatnam,1.0,872.64,No,2.99,Low
4384.17,19,Education,Online,Indore,5.0,1909.97,No,10.67,Low
502.35,15,Utilities,POS,Jaipur,3.0,867.43,No,4.72,Low
983.57,9,Shopping,POS,Mumbai,7.0,1524.13,No,2.88,High
2191.78,11,Electronics,Contactless,Kolkata,3.0,1768.97,No,9.29,Low
2857.35,15,Education,POS,Delhi,2.0,1515.99,No,0.65,Medium
2887.05,21,Electronics,POS,Chennai,0.0,1708.82,No,0.96,Low
1516.21,19,Pharmacy,POS,Guwahati,1.0,3591.82,No,12.61,Low
2313.05,14,Pharmacy,Contactless,Pune,1.0,4226.96,No,1.03,Low
2948.31,11,Online Marketplace,Online,Delhi,2.0,3244.7,No,10.29,Medium
2305.78,6,Electronics,POS,Pune,3.0,416.2,No,31.78,High
1324.5,18,Healthcare,Contactless,Mumbai,4.0,666.87,No,5.35,Low
1902.79,12,Grocery,Online,Patna,4.0,399.6,No,3.41,Medium
4999.52,4,Grocery,Online,Pune,3.0,5220.79,No,10.96,Medium
3996.29,19,Education,Online,Nagpur,3.0,4139.64,No,12.82,Low
1889.25,21,Shopping,POS,Lucknow,3.0,611.69,No,23.6,Medium
696.32,15,Shopping,POS,Bengaluru,5.0,1931.01,No,4.52,Low
19085.38,11,Restaurants,Online,Bengaluru,4.0,20247.71,No,11.19,Medium
104.31,13,Pharmacy,POS,Bengaluru,2.0,228.02,No,10.22,Low
4519.49,20,Entertainment,POS,Chennai,3.0,3762.45,No,4.03,Low
2088.17,0,Utilities,Online,Ahmedabad,4.0,1883.22,No,27.74,Medium
204.68,9,Grocery,POS,Mumbai,4.0,193.75,No,4.84,Medium
102828.73,8,Online Marketplace,Contactless,Bengaluru,4.0,2877.11,No,3.7,High
2136.56,11,Grocery,Contactless,Delhi,1.0,5757.48,No,26.66,Low
1001.18,15,Grocery,Online,Vijayawada,2.0,3039.5,No,8.4,Low
1148.74,23,Healthcare,Online,Bengaluru,1.0,870.72,No,12.96,Low
306.8,22,Healthcare,Online,Mumbai,1.0,491.54,No,5.31,Low
1065.67,14,Shopping,Contactless,Delhi,0.0,626.34,No,26.52,Low
1438.3,8,Travel,POS,Hyderabad,2.0,634.45,No,11.31,Low
5611.82,14,Travel,Contactless,Jaipur,4.0,1180.71,No,12.41,High
5879.13,9,Food,POS,Delhi,3.0,9522.55,Yes,4937.2,Medium
124.38,20,Food,Contactless,Ahmedabad,5.0,369.63,No,69.31,Low
54.32,14,Pharmacy,POS,Delhi,0.0,157.45,No,28.77,Low
672.54,9,Shopping,Contactless,Delhi,3.0,1079.74,No,11.95,Low
478.82,13,Food,POS,Chennai,5.0,1417.68,No,,Low
1324.14,16,Fuel,ATM,Patna,3.0,2537.34,No,27.6,Low
559.63,7,Fuel,Contactless,Bengaluru,2.0,421.21,Yes,5868.68,Medium
739.16,18,Travel,Online,Delhi,5.0,381.5,No,7.72,Medium
360.8,18,Fuel,POS,Nagpur,3.0,320.04,No,8.76,Medium
224.87,14,Grocery,POS,Hyderabad,2.0,572.69,No,321.1,Medium
2378.6,5,Fuel,Online,Mumbai,2.0,1684.1,No,1.22,Low
1166.07,0,Online Marketplace,Online,Bhopal,3.0,2617.07,No,4.31,Low
681.48,17,Grocery,Contactless,Bengaluru,22.0,1661.86,No,8.01,High
510.79,8,Shopping,POS,Visakhapatnam,1.0,677.88,No,2.39,Low
